,totalLatency
0,4.676579868793487
1,4.993116982777914
2,4.8921089331309
3,4.891499098141988
4,5.294479250907898
5,5.587536203861236
6,5.55423024892807
7,5.496894407272339
8,5.461989363034566
9,5.782303527990977
10,5.775833018620809
11,5.784787837664286
12,1.2969001928965251
13,1.7272650003433228
14,1.6987262487411499
15,1.5892836451530457
16,1.357298461596171
17,1.8352777163187664
18,1.7704620520273844
19,1.6407212773958841
20,1.2508773684501648
21,1.4433488368988037
22,1.3633125265439352
23,1.2654628515243531
0,1.4836069782574972
1,1.8102620601654054
2,1.7447865327199301
3,1.6828168312708536
4,1.3636635144551594
5,1.7531489292780558
6,1.7180724541346233
7,1.6052121758460998
0,1.4261732260386148
1,1.7015080451965332
2,1.6803157011667886
3,1.6286985317866007
4,1.36121510664622
5,1.621563204129537
6,1.6119126836458841
7,1.5987959067026773
8,3.311727539698283
9,3.620736555258433
10,3.597016215324402
11,3.6068894147872923
12,40.88746333916982
13,41.27591873804728
14,41.271194048722585
15,41.181856497128805
16,1.2473341266314188
17,1.5662325580914815
18,1.4636171181996664
19,1.3610583980878195
0,2.581034012635549
1,2.849626596768697
2,2.7190731604894003
3,2.7014349699020386
4,1.3981711506843566
5,1.6323545893033347
6,1.6413894534111022
7,1.5968109130859376
8,1.3710669914881388
9,1.694879118601481
10,1.6161254008611043
11,1.5680058081944783
0,10.587726827462514
1,10.899796589215596
2,10.920905590057373
3,10.94311077594757
4,6.896168275674184
5,7.211848823229472
6,7.214594332377116
7,7.228155525525411
8,1.2540714740753174
9,1.6609802961349487
10,1.643929155667623
11,1.5137123703956603
12,1.3031513889630635
13,1.6978288650512696
14,1.6684515913327536
15,1.554549252986908
16,1.2978129824002584
17,1.6679622491200765
18,1.5267320632934571
19,1.4343036810557048
20,1.229360314210256
21,1.4183706720670064
22,1.5292025605837505
23,1.409670619169871
0,11.39496805270513
1,12.202587683995565
2,11.737003660202026
3,11.75553339322408
4,5.684940600395203
5,5.9802166223526
6,6.305476156870524
7,5.983338757356008
8,6.888200847307841
9,7.204932105541229
10,7.211725449562072
11,7.223142834504445
12,5.927107159296671
13,6.247413388888041
14,6.243750246365865
15,6.250627692540487
16,1.250918968518575
17,2.031389613946279
18,1.6340741197268167
19,1.5117457985877991
20,1.2442261020342509
21,2.0322325229644775
22,1.4578809499740601
23,1.3657604773839316
24,1.2610626459121703
25,2.087832820415497
26,1.510255257288615
27,1.4177642981211345
28,3.0265456875165304
29,3.4663399775822956
30,3.682521665096283
31,3.2675719459851584
32,1.2255533854166667
33,1.6921879808108011
34,1.5183334032694498
35,1.4256298740704854
36,1.2756669441858928
37,1.6684873660405477
38,1.4821523745854697
39,1.3899952610333761
40,1.2652627269426981
41,1.4548333048820496
42,1.8171611746152243
43,1.4001968423525493
44,1.304641302426656
45,1.4952847758928935
46,1.9058703104654948
47,1.4921719392140707
48,1.2541810592015585
49,1.4427153786023459
50,1.543656094868978
51,1.4191454648971558
52,1.287532917658488
53,1.4803463697433472
54,1.5524205128351847
55,1.4272419293721517
56,1.2350665807724
57,1.4266522884368897
58,1.3503695050875346
59,1.248990571498871
0,8.306352984905242
1,9.10941031773885
2,8.650873883565266
3,8.647362860043843
4,8.524364185333251
5,8.846841259797413
6,9.1776349345843
7,8.861889612674712
8,3.256496040026347
9,3.570941706498464
10,3.5226521492004395
11,3.460674774646759
12,3.538762295246124
13,4.34442553917567
14,3.873863128821055
15,3.7472246408462526
0,3.859990390141805
1,4.735803878307342
2,4.11742305358251
3,4.057975872357686
4,3.772541371981303
5,4.563247950871785
6,4.023553840319315
7,3.9774815797805787
8,19.041378351052604
9,19.809931790828706
10,19.3953843553861
11,19.381481472651164
12,5.90124047199885
13,6.691029898325602
14,6.207663178443909
15,6.210011514027913
16,6.138159195582072
17,6.444072310129801
18,6.68499923547109
19,6.371573750178019
20,4.092957611878713
21,4.392059520880381
22,4.623838623364766
23,4.2972166538238525
24,1.370147204399109
25,1.632409354050954
26,1.5184540112813314
27,1.5362236897150676
28,1.6431375861167907
29,1.9241235772768657
30,1.7959310173988343
31,1.7620267550150552
32,2.954953678448995
33,3.2659289995829264
34,3.1716915090878803
35,3.131351657708486
36,5.333490467071533
37,5.609510374069214
38,5.594355726242066
39,5.5691771348317465
40,1.4224644621213278
41,1.6694094975789389
42,1.707533359527588
43,1.6743006348609923
44,1.4955029129981994
45,1.8411735097567241
46,2.1065003752708433
47,1.7493128776550293
48,2.3399389187494912
49,2.6632377465565997
50,2.968175943692525
51,2.6270609418551127
52,3.3332783619562787
53,3.6494544744491577
54,3.5774595419565838
55,3.534789538383484
56,5.659773516654968
57,5.991813226540883
