,totalLatency
0,2.181172859668732
1,3.0315186262130736
2,2.2413665652275085
3,3.0604859232902526
4,2.527540862560272
5,2.3306524753570557
6,2.4350442409515383
7,2.31778324842453
8,2.0699365854263307
0,2.4849583864212037
1,2.3344619154930113
0,2.3976505279541014
1,2.216108298301697
2,2.616130840778351
3,2.4778735399246217
4,2.2604846715927125
5,5.6503941655159
6,2.204870867729187
7,2.171592950820923
8,2.087739646434784
0,3.6018953800201414
1,2.27822859287262
2,2.323532283306122
3,2.28210027217865
4,2.197477698326111
0,2.9240073204040526
0,3.0132365345954897
1,2.0744138598442077
2,2.3714492678642274
0,2.2454655051231383
1,4.6118987679481505
2,2.870112645626068
3,5.545996689796448
4,3.5570158839225767
5,2.41044944524765
6,2.818590784072876
7,2.3473866820335387
0,3.0255459785461425
1,2.9284504413604737
2,2.5301052808761595
3,2.7360169649124146
4,2.905731177330017
0,2.9978443384170532
1,2.148705554008484
2,2.6535055875778197
3,2.154262399673462
4,2.4885125279426576
5,2.474930024147034
6,2.276204788684845
7,2.1465411305427553
8,2.141521430015564
9,2.31334011554718
10,2.067600655555725
0,3.3099913597106934
1,2.675975465774536
2,2.5032737016677857
3,4.457312655448914
4,3.500807511806488
5,2.308596169948578
6,2.1902984023094176
7,2.2928233623504637
8,2.1733155608177186
0,4.426530969142914
1,3.4503004431724547
2,17.440232598781584
3,2.9762579560279847
4,2.6472159385681153
5,2.735515260696411
6,2.737554168701172
7,3.6597490668296815
8,17.820001339912416
9,2.2963146209716796
10,2.5382308959960938
11,2.6375919818878173
12,17.757954800128935
13,2.1865988850593565
14,17.434773790836335
15,2.1836350083351137
0,4.403938436508179
1,4.653280174732208
2,17.775775527954103
3,2.9798807740211486
4,2.6401788234710692
5,17.112618505954742
6,2.4337592482566834
0,3.9436123609542846
1,3.16319340467453
2,14.094482505321503
3,3.7555395483970644
4,3.494189143180847
5,3.1146486163139344
6,16.799598240852355
7,2.1532827019691467
8,17.509128868579865
9,3.78530957698822
10,2.250648784637451
11,2.796475076675415
12,3.292709469795227
13,17.456335973739623
14,3.7130130529403687
15,2.900475227832794
16,17.61042490005493
17,2.571481704711914
18,2.2720698952674865
19,2.8089678406715395
20,2.7843486428260804
21,2.837402892112732
22,2.774857997894287
23,2.5528822779655456
24,2.5636715054512025
25,17.443122148513794
26,2.334169387817383
27,2.23307888507843
28,17.47978856563568
29,2.1114319562911987
30,2.303464686870575
31,2.521112489700317
32,2.580479609966278
33,17.501749515533447
34,2.033870506286621
35,2.178818440437317
36,17.498608660697936
37,2.0376774311065673
0,3.6240628719329835
1,2.1325218200683596
2,2.477560007572174
3,2.5332062602043153
4,20.33240455389023
0,6.404782915115357
1,3.704409921169281
2,16.8500723361969
3,5.142626273632049
4,4.096262431144714
5,18.143835031986235
